Community,safety,s_race_african_american,s_race_asian_american,s_race_hispanic,s_race_white,s_race_other,s_age_low,s_age_medium,s_age_high,s_sex_female,s_sex_male,trust,t_race_african_american,t_race_asian_american,t_race_hispanic,t_race_white,t_race_other,t_age_low,t_age_medium,t_age_high,t_sex_female,t_sex_male
Bridgeport,54.80,53.93,52.50,53.20,57.72,53.75,56.10,54.02,56.18,54.54,55.88,60.98,51.49,62.16,61.30,65.60,54.67,53.97,59.10,67.81,60.90,62.00
New City,50.62,51.09,52.64,49.57,53.60,54.03,52.61,47.99,54.16,49.38,51.15,58.08,47.50,61.73,59.62,68.11,54.99,53.63,59.10,63.61,55.65,62.94
West Elsdon,52.71,52.51,52.57,51.38,55.66,53.89,54.36,51.00,55.17,51.96,53.51,59.53,49.50,61.95,60.46,66.85,54.83,53.80,59.10,65.71,58.27,62.47
Gage Park,53.16,51.26,52.49,53.40,53.84,53.67,54.56,52.24,54.71,52.80,53.51,61.23,49.67,61.61,61.41,68.04,54.68,54.72,61.78,67.11,62.86,60.39
Clearing,60.15,51.99,53.64,60.15,62.22,54.50,57.42,60.31,60.93,60.11,60.86,70.08,53.26,61.00,68.55,74.94,57.93,60.89,71.45,74.86,72.36,70.58
West Lawn,56.66,51.62,53.06,56.78,58.03,54.08,55.99,56.27,57.82,56.46,57.18,65.65,51.47,61.30,64.98,71.49,56.30,57.81,66.61,70.98,67.61,65.48
Chicago Lawn,54.48,48.95,52.88,55.14,58.97,54.81,52.55,53.83,57.25,53.35,56.09,61.76,50.57,61.00,62.57,72.35,57.64,55.34,61.70,67.43,61.99,63.45
West Englewood,50.03,49.23,54.51,51.54,57.31,54.02,51.72,46.92,52.68,49.48,50.00,49.25,47.30,59.20,57.80,63.59,51.79,53.26,47.85,50.89,46.24,52.14
Englewood,51.26,49.90,54.17,52.32,59.12,54.88,52.22,49.37,53.33,52.02,51.08,50.25,47.60,59.93,58.17,63.90,52.96,51.82,47.74,53.01,50.27,50.58
Greater Grand Crossing,50.83,49.84,53.47,53.71,59.89,54.90,53.11,48.22,53.78,50.27,53.13,48.78,47.45,60.06,59.30,61.77,53.09,49.04,45.04,53.99,46.90,51.16
Ashburn,50.71,49.65,54.05,52.52,58.77,54.60,52.35,48.17,53.26,50.59,51.40,49.43,47.45,59.73,58.42,63.09,52.61,51.37,46.88,52.63,47.80,51.29
Auburn Gresham,54.14,52.16,56.45,57.25,62.96,53.73,51.08,51.71,57.50,53.49,54.90,53.77,49.33,65.18,61.93,73.54,54.42,52.29,51.57,57.18,53.20,54.70
Beverly,66.14,59.26,55.78,64.10,70.57,55.70,59.54,62.45,69.55,66.29,67.24,75.44,62.53,66.41,70.56,83.03,62.19,63.84,74.77,79.40,75.89,77.31
Washington Heights,60.14,55.71,56.12,60.68,66.76,54.71,55.31,57.08,63.52,59.89,61.07,64.61,55.93,65.80,66.25,78.28,58.31,58.07,63.17,68.29,64.54,66.00
Mount Greenwood,56.99,53.69,55.43,57.96,64.10,54.68,54.33,54.11,60.10,56.79,57.85,59.55,53.11,63.77,63.64,73.22,56.41,55.84,57.74,63.07,58.96,61.10
Morgan Park,57.74,54.62,56.63,60.75,67.04,53.81,56.35,57.89,59.47,57.58,59.16,61.12,53.85,65.91,65.84,79.88,57.55,57.38,60.02,67.93,63.64,63.72
O'Hare,61.37,58.88,59.29,62.29,66.83,55.82,60.91,60.72,63.11,61.00,62.80,63.28,57.86,67.83,64.77,73.64,59.44,57.07,62.06,70.14,64.64,65.51
Edgewater,64.99,63.13,61.95,63.82,66.61,57.83,65.47,63.55,66.74,64.42,66.44,65.44,61.88,69.76,63.69,67.39,61.33,56.75,64.11,72.35,65.64,67.31
