year,community,num_stations_in_comm,season,peak_hour,day,avg_daily_emptiness,avg_daily_bike_avail
2013,ARMOUR SQUARE,1,Summer,Yes,30,42.52840909,8.599431818
2013,ARMOUR SQUARE,1,Summer,Yes,31,51.88629283,7.23364486
2013,ARMOUR SQUARE,1,Summer,Yes,6,73.38755981,3.995215311
2013,ARMOUR SQUARE,1,Summer,Yes,7,62.80650685,5.561643836
2013,ARMOUR SQUARE,1,Summer,Yes,8,49.70264766,7.539714868
2013,ARMOUR SQUARE,1,Summer,Yes,9,58.12048193,6.289156627
2013,ARMOUR SQUARE,1,Winter,No,1,66.33333333,5.095238095
2013,ARMOUR SQUARE,1,Winter,No,10,59.3125,6.109375
2013,ARMOUR SQUARE,1,Winter,No,11,41.125,8.828125
2013,ARMOUR SQUARE,1,Winter,No,12,73,4
2013,ARMOUR SQUARE,1,Winter,No,13,73,4
2013,ARMOUR SQUARE,1,Winter,No,15,56.45454545,6.545454545
2013,ARMOUR SQUARE,1,Winter,No,16,60,6
2013,ARMOUR SQUARE,1,Winter,No,17,60,6
2013,ARMOUR SQUARE,1,Winter,No,18,60.21212121,5.96969697
2013,ARMOUR SQUARE,1,Winter,No,19,60.51515152,5.924242424
2013,ARMOUR SQUARE,1,Winter,No,20,57.66666667,6.333333333
2013,ARMOUR SQUARE,1,Winter,No,21,53.11111111,6.984126984
2013,ARMOUR SQUARE,1,Winter,No,22,53.63636364,6.909090909
2013,ARMOUR SQUARE,1,Winter,No,3,54.75,6.75
2013,ARMOUR SQUARE,1,Winter,No,4,58.06153846,6.276923077
2013,ARMOUR SQUARE,1,Winter,No,5,63.390625,5.515625
2013,ARMOUR SQUARE,1,Winter,No,6,63.18181818,5.545454545
2013,ARMOUR SQUARE,1,Winter,No,7,71.72727273,4.272727273
2013,ARMOUR SQUARE,1,Winter,No,8,80,3
2013,ARMOUR SQUARE,1,Winter,No,9,80,3
2013,ARMOUR SQUARE,1,Winter,Yes,10,46.32467532,8.064935065
2013,ARMOUR SQUARE,1,Winter,Yes,11,60.64935065,5.87012987
2013,ARMOUR SQUARE,1,Winter,Yes,12,73,4
2013,ARMOUR SQUARE,1,Winter,Yes,13,62.94117647,5.558823529
2013,ARMOUR SQUARE,1,Winter,Yes,16,59.63157895,6.052631579
2013,ARMOUR SQUARE,1,Winter,Yes,17,60,6
2013,ARMOUR SQUARE,1,Winter,Yes,18,56.45454545,6.506493506
2013,ARMOUR SQUARE,1,Winter,Yes,19,58.18181818,6.25974026
2013,ARMOUR SQUARE,1,Winter,Yes,20,59.38666667,6.093333333
2013,ARMOUR SQUARE,1,Winter,Yes,21,53.09090909,6.987012987
2013,ARMOUR SQUARE,1,Winter,Yes,3,50.54545455,7.418181818
2013,ARMOUR SQUARE,1,Winter,Yes,4,54.90909091,6.74025974
2013,ARMOUR SQUARE,1,Winter,Yes,5,65.34615385,5.230769231
2013,ARMOUR SQUARE,1,Winter,Yes,6,56.19736842,6.552631579
2013,ARMOUR SQUARE,1,Winter,Yes,7,73.37662338,4
2013,ARMOUR SQUARE,1,Winter,Yes,8,80,3
2013,ARMOUR SQUARE,1,Winter,Yes,9,77.05263158,3.421052632
2013,KENWOOD,1,Fall,No,1,42.24524313,8.549682875
2013,KENWOOD,1,Fall,No,10,72.14054054,4.152702703
2013,KENWOOD,1,Fall,No,11,76.29108635,3.562674095
2013,KENWOOD,1,Fall,No,12,82.86770428,2.554474708
2013,KENWOOD,1,Fall,No,13,77.15988372,3.412790698
2013,KENWOOD,1,Fall,No,14,74.93287435,3.65404475
2013,KENWOOD,1,Fall,No,15,63.12093023,5.430232558
2013,KENWOOD,1,Fall,No,16,63.3255132,5.381231672
2013,KENWOOD,1,Fall,No,17,61.31603774,5.702830189
2013,KENWOOD,1,Fall,No,18,51.88203753,6.965147453
2013,KENWOOD,1,Fall,No,19,56.50761421,6.203045685
2013,KENWOOD,1,Fall,No,2,65.0530303,4.810606061
2013,KENWOOD,1,Fall,No,20,58.00537634,5.876344086
2013,KENWOOD,1,Fall,No,21,59.64615385,5.435897436
2013,KENWOOD,1,Fall,No,22,61.42934783,5.282608696
2013,KENWOOD,1,Fall,No,23,59.18023256,5.662790698
2013,KENWOOD,1,Fall,No,24,57.78881988,5.875776398
2013,KENWOOD,1,Fall,No,25,57.28834356,5.736196319
2013,KENWOOD,1,Fall,No,26,53.9281768,6.038674033
2013,KENWOOD,1,Fall,No,27,56.52222222,5.85
2013,KENWOOD,1,Fall,No,28,66.7025641,4.625641026
2013,KENWOOD,1,Fall,No,29,64.76649746,5.025380711
2013,KENWOOD,1,Fall,No,3,46.86797753,7.907303371
2013,KENWOOD,1,Fall,No,30,61.90816327,5.5
2013,KENWOOD,1,Fall,No,31,58.21818182,6.254545455
