community,year,n_gang_territories
ALBANY PARK,2016,5
ARCHER HEIGHTS,2016,1
ARMOUR SQUARE,2016,2
ASHBURN,2016,2
AUBURN GRESHAM,2016,7
AUSTIN,2016,50
AVALON PARK,2016,2
AVONDALE,2016,3
BELMONT CRAGIN,2016,12
BRIDGEPORT,2016,2
BRIGHTON PARK,2016,3
BURNSIDE,2016,1
CALUMET HEIGHTS,2016,2
CHATHAM,2016,7
CHICAGO LAWN,2016,2
CLEARING,2016,1
DOUGLAS,2016,4
EAST GARFIELD PARK,2016,6
EAST SIDE,2016,2
EDGEWATER,2016,3
ENGLEWOOD,2016,11
FULLER PARK,2016,2
GAGE PARK,2016,4
GARFIELD RIDGE,2016,2
GRAND BOULEVARD,2016,3
GREATER GRAND CROSSING,2016,10
HEGEWISCH,2016,1
HERMOSA,2016,5
HUMBOLDT PARK,2016,19
HYDE PARK,2016,1
IRVING PARK,2016,3
KENWOOD,2016,1
LINCOLN SQUARE,2016,2
LOGAN SQUARE,2016,7
LOWER WEST SIDE,2016,8
MCKINLEY PARK,2016,3
MORGAN PARK,2016,5
NEAR NORTH SIDE,2016,2
NEAR SOUTH SIDE,2016,1
NEAR WEST SIDE,2016,6
NEW CITY,2016,11
NORTH CENTER,2016,1
NORTH LAWNDALE,2016,23
OAKLAND,2016,1
PORTAGE PARK,2016,2
PULLMAN,2016,4
RIVERDALE,2016,7
ROGERS PARK,2016,9
ROSELAND,2016,15
SOUTH CHICAGO,2016,18
SOUTH DEERING,2016,4
SOUTH LAWNDALE,2016,9
SOUTH SHORE,2016,12
UPTOWN,2016,5
WASHINGTON HEIGHTS,2016,8
WASHINGTON PARK,2016,5
WEST ELSDON,2016,1
WEST ENGLEWOOD,2016,10
WEST GARFIELD PARK,2016,8
WEST LAWN,2016,1
WEST PULLMAN,2016,10
WEST RIDGE,2016,2
WEST TOWN,2016,11
WOODLAWN,2016,7
JEFFERSON PARK,2016,NA
FOREST GLEN,2016,NA
NORTH PARK,2016,NA
DUNNING,2016,NA
MONTCLARE,2016,NA
NORWOOD PARK,2016,NA
LOOP,2016,NA
LAKE VIEW,2016,NA
LINCOLN PARK,2016,NA
BEVERLY,2016,NA
MOUNT GREENWOOD,2016,NA
OHARE,2016,NA
EDISON PARK,2016,NA
