community,year,n_gang_territories
ALBANY PARK,2008,4
ARCHER HEIGHTS,2008,1
ARMOUR SQUARE,2008,2
ASHBURN,2008,2
AUBURN GRESHAM,2008,6
AUSTIN,2008,63
AVALON PARK,2008,1
AVONDALE,2008,4
BELMONT CRAGIN,2008,16
BEVERLY,2008,1
BRIDGEPORT,2008,2
BRIGHTON PARK,2008,3
BURNSIDE,2008,3
CALUMET HEIGHTS,2008,4
CHATHAM,2008,4
CHICAGO LAWN,2008,5
CLEARING,2008,1
DOUGLAS,2008,3
EAST GARFIELD PARK,2008,9
EAST SIDE,2008,4
EDGEWATER,2008,6
ENGLEWOOD,2008,5
FULLER PARK,2008,2
GAGE PARK,2008,8
GARFIELD RIDGE,2008,5
GRAND BOULEVARD,2008,11
GREATER GRAND CROSSING,2008,9
HEGEWISCH,2008,2
HERMOSA,2008,6
HUMBOLDT PARK,2008,22
HYDE PARK,2008,2
IRVING PARK,2008,2
KENWOOD,2008,3
LAKE VIEW,2008,2
LINCOLN PARK,2008,1
LINCOLN SQUARE,2008,3
LOGAN SQUARE,2008,14
LOWER WEST SIDE,2008,10
MCKINLEY PARK,2008,3
MONTCLARE,2008,1
MORGAN PARK,2008,2
NEAR NORTH SIDE,2008,3
NEAR SOUTH SIDE,2008,1
NEAR WEST SIDE,2008,14
NEW CITY,2008,13
NORTH CENTER,2008,3
NORTH LAWNDALE,2008,17
NORTH PARK,2008,1
OAKLAND,2008,2
OHARE,2008,3
PORTAGE PARK,2008,4
PULLMAN,2008,3
RIVERDALE,2008,4
ROGERS PARK,2008,10
ROSELAND,2008,16
SOUTH CHICAGO,2008,20
SOUTH DEERING,2008,4
SOUTH LAWNDALE,2008,6
SOUTH SHORE,2008,17
UPTOWN,2008,10
WASHINGTON HEIGHTS,2008,9
WASHINGTON PARK,2008,5
WEST ELSDON,2008,1
WEST ENGLEWOOD,2008,12
WEST GARFIELD PARK,2008,10
WEST LAWN,2008,1
WEST PULLMAN,2008,7
WEST RIDGE,2008,10
WEST TOWN,2008,21
WOODLAWN,2008,14
JEFFERSON PARK,2008,NA
FOREST GLEN,2008,NA
DUNNING,2008,NA
NORWOOD PARK,2008,NA
LOOP,2008,NA
MOUNT GREENWOOD,2008,NA
EDISON PARK,2008,NA
