community,year,n_gang_territories
ALBANY PARK,2018,5
ARCHER HEIGHTS,2018,1
ARMOUR SQUARE,2018,1
ASHBURN,2018,2
AUBURN GRESHAM,2018,7
AUSTIN,2018,41
AVALON PARK,2018,1
AVONDALE,2018,3
BELMONT CRAGIN,2018,9
BRIDGEPORT,2018,2
BRIGHTON PARK,2018,2
CALUMET HEIGHTS,2018,2
CHATHAM,2018,7
CHICAGO LAWN,2018,2
CLEARING,2018,1
DOUGLAS,2018,5
EAST GARFIELD PARK,2018,6
EAST SIDE,2018,3
EDGEWATER,2018,3
ENGLEWOOD,2018,11
FULLER PARK,2018,2
GAGE PARK,2018,4
GARFIELD RIDGE,2018,2
GRAND BOULEVARD,2018,3
GREATER GRAND CROSSING,2018,10
HEGEWISCH,2018,1
HERMOSA,2018,6
HUMBOLDT PARK,2018,14
HYDE PARK,2018,1
IRVING PARK,2018,3
KENWOOD,2018,1
LINCOLN SQUARE,2018,2
LOGAN SQUARE,2018,5
LOWER WEST SIDE,2018,8
MCKINLEY PARK,2018,3
MORGAN PARK,2018,4
NEAR NORTH SIDE,2018,2
NEAR SOUTH SIDE,2018,1
NEAR WEST SIDE,2018,5
NEW CITY,2018,11
NORTH LAWNDALE,2018,22
OAKLAND,2018,1
PORTAGE PARK,2018,2
PULLMAN,2018,4
RIVERDALE,2018,6
ROGERS PARK,2018,8
ROSELAND,2018,15
SOUTH CHICAGO,2018,17
SOUTH DEERING,2018,4
SOUTH LAWNDALE,2018,10
SOUTH SHORE,2018,11
UPTOWN,2018,5
WASHINGTON HEIGHTS,2018,8
WASHINGTON PARK,2018,4
WEST ELSDON,2018,1
WEST ENGLEWOOD,2018,8
WEST GARFIELD PARK,2018,8
WEST LAWN,2018,1
WEST PULLMAN,2018,9
WEST RIDGE,2018,2
WEST TOWN,2018,11
WOODLAWN,2018,7
JEFFERSON PARK,2018,NA
FOREST GLEN,2018,NA
NORTH PARK,2018,NA
DUNNING,2018,NA
MONTCLARE,2018,NA
NORWOOD PARK,2018,NA
LOOP,2018,NA
BURNSIDE,2018,NA
LAKE VIEW,2018,NA
NORTH CENTER,2018,NA
LINCOLN PARK,2018,NA
BEVERLY,2018,NA
MOUNT GREENWOOD,2018,NA
OHARE,2018,NA
EDISON PARK,2018,NA
