community,year,n_gang_territories
ALBANY PARK,2015,5
ARCHER HEIGHTS,2015,1
ARMOUR SQUARE,2015,2
ASHBURN,2015,2
AUBURN GRESHAM,2015,7
AUSTIN,2015,49
AVALON PARK,2015,1
AVONDALE,2015,3
BELMONT CRAGIN,2015,14
BRIDGEPORT,2015,2
BRIGHTON PARK,2015,3
BURNSIDE,2015,1
CALUMET HEIGHTS,2015,3
CHATHAM,2015,7
CHICAGO LAWN,2015,2
CLEARING,2015,1
DOUGLAS,2015,4
EAST GARFIELD PARK,2015,6
EAST SIDE,2015,2
EDGEWATER,2015,3
ENGLEWOOD,2015,10
FULLER PARK,2015,2
GAGE PARK,2015,4
GARFIELD RIDGE,2015,2
GRAND BOULEVARD,2015,3
GREATER GRAND CROSSING,2015,9
HEGEWISCH,2015,1
HERMOSA,2015,5
HUMBOLDT PARK,2015,20
HYDE PARK,2015,1
IRVING PARK,2015,3
KENWOOD,2015,1
LINCOLN SQUARE,2015,2
LOGAN SQUARE,2015,10
LOWER WEST SIDE,2015,8
MCKINLEY PARK,2015,3
MORGAN PARK,2015,5
NEAR NORTH SIDE,2015,2
NEAR SOUTH SIDE,2015,1
NEAR WEST SIDE,2015,6
NEW CITY,2015,11
NORTH CENTER,2015,1
NORTH LAWNDALE,2015,23
OAKLAND,2015,1
PORTAGE PARK,2015,2
PULLMAN,2015,4
RIVERDALE,2015,7
ROGERS PARK,2015,9
ROSELAND,2015,15
SOUTH CHICAGO,2015,18
SOUTH DEERING,2015,3
SOUTH LAWNDALE,2015,9
SOUTH SHORE,2015,10
UPTOWN,2015,4
WASHINGTON HEIGHTS,2015,8
WASHINGTON PARK,2015,5
WEST ELSDON,2015,1
WEST ENGLEWOOD,2015,10
WEST GARFIELD PARK,2015,8
WEST LAWN,2015,1
WEST PULLMAN,2015,10
WEST RIDGE,2015,2
WEST TOWN,2015,11
WOODLAWN,2015,7
JEFFERSON PARK,2015,NA
FOREST GLEN,2015,NA
NORTH PARK,2015,NA
DUNNING,2015,NA
MONTCLARE,2015,NA
NORWOOD PARK,2015,NA
LOOP,2015,NA
LAKE VIEW,2015,NA
LINCOLN PARK,2015,NA
BEVERLY,2015,NA
MOUNT GREENWOOD,2015,NA
OHARE,2015,NA
EDISON PARK,2015,NA
