community,year,n_gang_territories
ALBANY PARK,2009,4
ARCHER HEIGHTS,2009,1
ARMOUR SQUARE,2009,2
ASHBURN,2009,2
AUBURN GRESHAM,2009,6
AUSTIN,2009,63
AVALON PARK,2009,1
AVONDALE,2009,4
BELMONT CRAGIN,2009,16
BEVERLY,2009,1
BRIDGEPORT,2009,2
BRIGHTON PARK,2009,3
BURNSIDE,2009,3
CALUMET HEIGHTS,2009,4
CHATHAM,2009,3
CHICAGO LAWN,2009,5
CLEARING,2009,1
DOUGLAS,2009,3
EAST GARFIELD PARK,2009,9
EAST SIDE,2009,4
EDGEWATER,2009,6
ENGLEWOOD,2009,5
FULLER PARK,2009,2
GAGE PARK,2009,8
GARFIELD RIDGE,2009,5
GRAND BOULEVARD,2009,11
GREATER GRAND CROSSING,2009,9
HEGEWISCH,2009,2
HERMOSA,2009,6
HUMBOLDT PARK,2009,22
HYDE PARK,2009,2
IRVING PARK,2009,2
KENWOOD,2009,3
LAKE VIEW,2009,2
LINCOLN PARK,2009,1
LINCOLN SQUARE,2009,3
LOGAN SQUARE,2009,14
LOWER WEST SIDE,2009,10
MCKINLEY PARK,2009,3
MONTCLARE,2009,1
MORGAN PARK,2009,2
NEAR NORTH SIDE,2009,3
NEAR SOUTH SIDE,2009,1
NEAR WEST SIDE,2009,14
NEW CITY,2009,13
NORTH CENTER,2009,3
NORTH LAWNDALE,2009,17
NORTH PARK,2009,1
OAKLAND,2009,2
OHARE,2009,3
PORTAGE PARK,2009,4
PULLMAN,2009,3
RIVERDALE,2009,4
ROGERS PARK,2009,10
ROSELAND,2009,16
SOUTH CHICAGO,2009,20
SOUTH DEERING,2009,4
SOUTH LAWNDALE,2009,6
SOUTH SHORE,2009,17
UPTOWN,2009,10
WASHINGTON HEIGHTS,2009,9
WASHINGTON PARK,2009,5
WEST ELSDON,2009,1
WEST ENGLEWOOD,2009,12
WEST GARFIELD PARK,2009,10
WEST LAWN,2009,1
WEST PULLMAN,2009,7
WEST RIDGE,2009,10
WEST TOWN,2009,21
WOODLAWN,2009,14
JEFFERSON PARK,2009,NA
FOREST GLEN,2009,NA
DUNNING,2009,NA
NORWOOD PARK,2009,NA
LOOP,2009,NA
MOUNT GREENWOOD,2009,NA
EDISON PARK,2009,NA
