community,year,n_gang_territories
ALBANY PARK,2011,4
ARCHER HEIGHTS,2011,1
ARMOUR SQUARE,2011,2
ASHBURN,2011,4
AUBURN GRESHAM,2011,5
AUSTIN,2011,36
AVALON PARK,2011,1
AVONDALE,2011,3
BELMONT CRAGIN,2011,12
BRIDGEPORT,2011,2
BRIGHTON PARK,2011,4
BURNSIDE,2011,2
CALUMET HEIGHTS,2011,2
CHATHAM,2011,2
CHICAGO LAWN,2011,3
DOUGLAS,2011,3
DUNNING,2011,1
EAST GARFIELD PARK,2011,7
EAST SIDE,2011,2
EDGEWATER,2011,4
ENGLEWOOD,2011,5
FULLER PARK,2011,2
GAGE PARK,2011,6
GARFIELD RIDGE,2011,5
GRAND BOULEVARD,2011,9
GREATER GRAND CROSSING,2011,4
HEGEWISCH,2011,1
HERMOSA,2011,6
HUMBOLDT PARK,2011,16
HYDE PARK,2011,2
IRVING PARK,2011,3
JEFFERSON PARK,2011,1
KENWOOD,2011,2
LAKE VIEW,2011,1
LINCOLN PARK,2011,1
LINCOLN SQUARE,2011,3
LOGAN SQUARE,2011,17
LOWER WEST SIDE,2011,9
MCKINLEY PARK,2011,4
MONTCLARE,2011,1
MORGAN PARK,2011,4
NEAR NORTH SIDE,2011,3
NEAR WEST SIDE,2011,9
NEW CITY,2011,13
NORTH CENTER,2011,2
NORTH LAWNDALE,2011,18
NORTH PARK,2011,1
OAKLAND,2011,3
PORTAGE PARK,2011,5
PULLMAN,2011,5
RIVERDALE,2011,6
ROGERS PARK,2011,9
ROSELAND,2011,10
SOUTH CHICAGO,2011,14
SOUTH DEERING,2011,3
SOUTH LAWNDALE,2011,5
SOUTH SHORE,2011,6
UPTOWN,2011,6
WASHINGTON HEIGHTS,2011,6
WASHINGTON PARK,2011,4
WEST ENGLEWOOD,2011,9
WEST GARFIELD PARK,2011,7
WEST LAWN,2011,1
WEST PULLMAN,2011,4
WEST RIDGE,2011,6
WEST TOWN,2011,18
WOODLAWN,2011,2
FOREST GLEN,2011,NA
NEAR SOUTH SIDE,2011,NA
NORWOOD PARK,2011,NA
LOOP,2011,NA
WEST ELSDON,2011,NA
CLEARING,2011,NA
BEVERLY,2011,NA
MOUNT GREENWOOD,2011,NA
OHARE,2011,NA
EDISON PARK,2011,NA
