community,year,n_gang_territories
ALBANY PARK,2017,5
ARCHER HEIGHTS,2017,1
ARMOUR SQUARE,2017,1
ASHBURN,2017,2
AUBURN GRESHAM,2017,7
AUSTIN,2017,48
AVALON PARK,2017,1
AVONDALE,2017,3
BELMONT CRAGIN,2017,10
BRIDGEPORT,2017,2
BRIGHTON PARK,2017,3
CALUMET HEIGHTS,2017,2
CHATHAM,2017,7
CHICAGO LAWN,2017,2
CLEARING,2017,1
DOUGLAS,2017,5
EAST GARFIELD PARK,2017,6
EAST SIDE,2017,3
EDGEWATER,2017,3
ENGLEWOOD,2017,11
FULLER PARK,2017,2
GAGE PARK,2017,4
GARFIELD RIDGE,2017,2
GRAND BOULEVARD,2017,3
GREATER GRAND CROSSING,2017,10
HEGEWISCH,2017,1
HERMOSA,2017,5
HUMBOLDT PARK,2017,13
HYDE PARK,2017,1
IRVING PARK,2017,3
KENWOOD,2017,1
LINCOLN SQUARE,2017,2
LOGAN SQUARE,2017,7
LOWER WEST SIDE,2017,8
MCKINLEY PARK,2017,3
MORGAN PARK,2017,4
NEAR NORTH SIDE,2017,2
NEAR SOUTH SIDE,2017,1
NEAR WEST SIDE,2017,6
NEW CITY,2017,11
NORTH CENTER,2017,1
NORTH LAWNDALE,2017,23
OAKLAND,2017,1
PORTAGE PARK,2017,2
PULLMAN,2017,4
RIVERDALE,2017,6
ROGERS PARK,2017,9
ROSELAND,2017,15
SOUTH CHICAGO,2017,17
SOUTH DEERING,2017,4
SOUTH LAWNDALE,2017,9
SOUTH SHORE,2017,11
UPTOWN,2017,5
WASHINGTON HEIGHTS,2017,8
WASHINGTON PARK,2017,5
WEST ELSDON,2017,1
WEST ENGLEWOOD,2017,10
WEST GARFIELD PARK,2017,7
WEST LAWN,2017,1
WEST PULLMAN,2017,10
WEST RIDGE,2017,2
WEST TOWN,2017,11
WOODLAWN,2017,7
JEFFERSON PARK,2017,NA
FOREST GLEN,2017,NA
NORTH PARK,2017,NA
DUNNING,2017,NA
MONTCLARE,2017,NA
NORWOOD PARK,2017,NA
LOOP,2017,NA
BURNSIDE,2017,NA
LAKE VIEW,2017,NA
LINCOLN PARK,2017,NA
BEVERLY,2017,NA
MOUNT GREENWOOD,2017,NA
OHARE,2017,NA
EDISON PARK,2017,NA
