community,year,n_gang_territories
ALBANY PARK,2010,4
ARCHER HEIGHTS,2010,1
ARMOUR SQUARE,2010,2
ASHBURN,2010,4
AUBURN GRESHAM,2010,5
AUSTIN,2010,36
AVALON PARK,2010,1
AVONDALE,2010,3
BELMONT CRAGIN,2010,12
BRIDGEPORT,2010,2
BRIGHTON PARK,2010,4
BURNSIDE,2010,2
CALUMET HEIGHTS,2010,2
CHATHAM,2010,2
CHICAGO LAWN,2010,3
DOUGLAS,2010,3
DUNNING,2010,1
EAST GARFIELD PARK,2010,7
EAST SIDE,2010,2
EDGEWATER,2010,4
ENGLEWOOD,2010,5
FULLER PARK,2010,2
GAGE PARK,2010,6
GARFIELD RIDGE,2010,5
GRAND BOULEVARD,2010,9
GREATER GRAND CROSSING,2010,4
HEGEWISCH,2010,1
HERMOSA,2010,6
HUMBOLDT PARK,2010,16
HYDE PARK,2010,2
IRVING PARK,2010,4
JEFFERSON PARK,2010,1
KENWOOD,2010,2
LAKE VIEW,2010,1
LINCOLN PARK,2010,1
LINCOLN SQUARE,2010,3
LOGAN SQUARE,2010,17
LOWER WEST SIDE,2010,9
MCKINLEY PARK,2010,4
MONTCLARE,2010,1
MORGAN PARK,2010,4
NEAR NORTH SIDE,2010,3
NEAR WEST SIDE,2010,9
NEW CITY,2010,13
NORTH CENTER,2010,2
NORTH LAWNDALE,2010,18
NORTH PARK,2010,1
OAKLAND,2010,3
PORTAGE PARK,2010,5
PULLMAN,2010,5
RIVERDALE,2010,6
ROGERS PARK,2010,9
ROSELAND,2010,10
SOUTH CHICAGO,2010,14
SOUTH DEERING,2010,3
SOUTH LAWNDALE,2010,5
SOUTH SHORE,2010,6
UPTOWN,2010,6
WASHINGTON HEIGHTS,2010,6
WASHINGTON PARK,2010,4
WEST ENGLEWOOD,2010,9
WEST GARFIELD PARK,2010,7
WEST LAWN,2010,1
WEST PULLMAN,2010,4
WEST RIDGE,2010,6
WEST TOWN,2010,18
WOODLAWN,2010,2
FOREST GLEN,2010,NA
NEAR SOUTH SIDE,2010,NA
NORWOOD PARK,2010,NA
LOOP,2010,NA
WEST ELSDON,2010,NA
CLEARING,2010,NA
BEVERLY,2010,NA
MOUNT GREENWOOD,2010,NA
OHARE,2010,NA
EDISON PARK,2010,NA
