community,year,n_gang_territories
ALBANY PARK,2007,4
ARCHER HEIGHTS,2007,1
ARMOUR SQUARE,2007,2
ASHBURN,2007,2
AUBURN GRESHAM,2007,6
AUSTIN,2007,67
AVALON PARK,2007,2
AVONDALE,2007,4
BELMONT CRAGIN,2007,17
BEVERLY,2007,1
BRIDGEPORT,2007,2
BRIGHTON PARK,2007,3
BURNSIDE,2007,3
CALUMET HEIGHTS,2007,2
CHATHAM,2007,4
CHICAGO LAWN,2007,5
CLEARING,2007,1
DOUGLAS,2007,3
EAST GARFIELD PARK,2007,9
EAST SIDE,2007,3
EDGEWATER,2007,6
ENGLEWOOD,2007,5
FULLER PARK,2007,2
GAGE PARK,2007,8
GARFIELD RIDGE,2007,5
GRAND BOULEVARD,2007,11
GREATER GRAND CROSSING,2007,8
HEGEWISCH,2007,2
HERMOSA,2007,6
HUMBOLDT PARK,2007,22
HYDE PARK,2007,2
IRVING PARK,2007,2
KENWOOD,2007,3
LAKE VIEW,2007,2
LINCOLN PARK,2007,1
LINCOLN SQUARE,2007,3
LOGAN SQUARE,2007,14
LOWER WEST SIDE,2007,10
MCKINLEY PARK,2007,3
MONTCLARE,2007,1
NEAR NORTH SIDE,2007,3
NEAR SOUTH SIDE,2007,1
NEAR WEST SIDE,2007,14
NEW CITY,2007,13
NORTH CENTER,2007,3
NORTH LAWNDALE,2007,17
NORTH PARK,2007,1
OAKLAND,2007,2
OHARE,2007,3
PORTAGE PARK,2007,4
PULLMAN,2007,4
RIVERDALE,2007,4
ROGERS PARK,2007,10
ROSELAND,2007,12
SOUTH CHICAGO,2007,22
SOUTH DEERING,2007,4
SOUTH LAWNDALE,2007,6
SOUTH SHORE,2007,15
UPTOWN,2007,10
WASHINGTON HEIGHTS,2007,9
WASHINGTON PARK,2007,4
WEST ELSDON,2007,1
WEST ENGLEWOOD,2007,12
WEST GARFIELD PARK,2007,10
WEST LAWN,2007,1
WEST PULLMAN,2007,7
WEST RIDGE,2007,11
WEST TOWN,2007,21
WOODLAWN,2007,13
JEFFERSON PARK,2007,NA
FOREST GLEN,2007,NA
DUNNING,2007,NA
NORWOOD PARK,2007,NA
LOOP,2007,NA
MOUNT GREENWOOD,2007,NA
MORGAN PARK,2007,NA
EDISON PARK,2007,NA
